District_ID,Time,KWH
0,2022/12/11 00:00,771.6956349
1,2022/12/11 00:00,2305.384183
2,2022/12/11 00:00,1479.665934
3,2022/12/11 00:00,1479.370938
4,2022/12/11 00:00,2653.279889
5,2022/12/11 00:00,1473.333992
6,2022/12/11 00:00,119.4141111
7,2022/12/11 00:00,962.6654444
8,2022/12/11 00:00,1481.219116
9,2022/12/11 00:00,1475.668845
10,2022/12/11 00:00,1473.003886
11,2022/12/11 00:00,959.5313413
12,2022/12/11 00:00,
13,2022/12/11 00:00,1467.818058
14,2022/12/11 00:00,
15,2022/12/11 00:00,1467.353594
16,2022/12/11 00:00,27.04933333
17,2022/12/11 00:00,1474.762467
18,2022/12/11 00:00,
19,2022/12/11 00:00,1475.957306
20,2022/12/11 00:00,1482.713937
21,2022/12/11 00:00,110.1467143
22,2022/12/11 00:00,
23,2022/12/11 00:00,1486.994754
24,2022/12/11 00:00,740.2170079
25,2022/12/11 00:00,975.0242143
26,2022/12/11 00:00,1481.216372
27,2022/12/11 00:00,1183.442079
28,2022/12/11 00:00,1479.38135
29,2022/12/11 00:00,1476.427032
30,2022/12/11 00:00,647.0386111
31,2022/12/11 00:00,1470.955055
0,2022/12/11 00:30,961.139127
1,2022/12/11 00:30,3291.229937
2,2022/12/11 00:30,1504.816503
3,2022/12/11 00:30,1498.017642
4,2022/12/11 00:30,3209.020444
5,2022/12/11 00:30,1502.055143
6,2022/12/11 00:30,120.6413333
7,2022/12/11 00:30,683.3515556
8,2022/12/11 00:30,1505.905246
9,2022/12/11 00:30,1503.827439
10,2022/12/11 00:30,1503.887476
11,2022/12/11 00:30,994.9224127
12,2022/12/11 00:30,
13,2022/12/11 00:30,1503.918536
14,2022/12/11 00:30,
15,2022/12/11 00:30,1502.560119
16,2022/12/11 00:30,27.94488889
17,2022/12/11 00:30,1500.056555
18,2022/12/11 00:30,
19,2022/12/11 00:30,1499.792643
20,2022/12/11 00:30,1500.045375
21,2022/12/11 00:30,65.73314286
22,2022/12/11 00:30,
23,2022/12/11 00:30,1504.217792
24,2022/12/11 00:30,788.1986349
25,2022/12/11 00:30,1111.18981
26,2022/12/11 00:30,1504.133625
27,2022/12/11 00:30,1174.082516
28,2022/12/11 00:30,1501.681512
29,2022/12/11 00:30,1502.55724
30,2022/12/11 00:30,665.2330556
31,2022/12/11 00:30,1496.332059
0,2022/12/11 01:00,1055.773254
1,2022/12/11 01:00,3043.121762
2,2022/12/11 01:00,1434.991126
3,2022/12/11 01:00,1430.794286
4,2022/12/11 01:00,3010.992667
5,2022/12/11 01:00,1440.580063
6,2022/12/11 01:00,124.8057778
7,2022/12/11 01:00,828.3093333
8,2022/12/11 01:00,1434.576261
9,2022/12/11 01:00,1442.603397
10,2022/12/11 01:00,1438.867882
11,2022/12/11 01:00,1061.843048
12,2022/12/11 01:00,
13,2022/12/11 01:00,1436.563808
14,2022/12/11 01:00,
15,2022/12/11 01:00,1438.367337
16,2022/12/11 01:00,28.08266667
17,2022/12/11 01:00,1438.725583
18,2022/12/11 01:00,
19,2022/12/11 01:00,1430.027393
20,2022/12/11 01:00,1428.914887
21,2022/12/11 01:00,58.90028571
22,2022/12/11 01:00,
23,2022/12/11 01:00,1426.179562
24,2022/12/11 01:00,733.085381
25,2022/12/11 01:00,959.848619
26,2022/12/11 01:00,1434.841309
27,2022/12/11 01:00,1174.337476
28,2022/12/11 01:00,1420.582694
29,2022/12/11 01:00,1419.406748
30,2022/12/11 01:00,673.5483333
31,2022/12/11 01:00,1420.428827
0,2022/12/11 01:30,1016.549
1,2022/12/11 01:30,2495.766683
2,2022/12/11 01:30,1382.370339
3,2022/12/11 01:30,1384.829642
4,2022/12/11 01:30,2332.861524
5,2022/12/11 01:30,1381.094873
6,2022/12/11 01:30,129.588
7,2022/12/11 01:30,1002.993381
8,2022/12/11 01:30,1385.871626
9,2022/12/11 01:30,1386.25102
10,2022/12/11 01:30,1391.010685
11,2022/12/11 01:30,980.6856349
12,2022/12/11 01:30,
13,2022/12/11 01:30,1383.284004
14,2022/12/11 01:30,
15,2022/12/11 01:30,1382.746634
16,2022/12/11 01:30,28
17,2022/12/11 01:30,1374.287183
18,2022/12/11 01:30,
19,2022/12/11 01:30,1372.865638
20,2022/12/11 01:30,1370.131276
21,2022/12/11 01:30,63
22,2022/12/11 01:30,
23,2022/12/11 01:30,1376.937015
24,2022/12/11 01:30,717.8004603
25,2022/12/11 01:30,740.5538095
26,2022/12/11 01:30,1383.709651
27,2022/12/11 01:30,1178.687452
28,2022/12/11 01:30,1374.463598
29,2022/12/11 01:30,1371.98102
30,2022/12/11 01:30,686.6986905
31,2022/12/11 01:30,1372.952384
0,2022/12/11 02:00,913.9398571
1,2022/12/11 02:00,2254.599619
2,2022/12/11 02:00,1269.903526
3,2022/12/11 02:00,1267.637926
4,2022/12/11 02:00,1629.078095
5,2022/12/11 02:00,1278.66281
6,2022/12/11 02:00,132.4267778
7,2022/12/11 02:00,1084.745952
8,2022/12/11 02:00,1266.409223
9,2022/12/11 02:00,1264.424563
10,2022/12/11 02:00,1263.301894
11,2022/12/11 02:00,822.7747302
12,2022/12/11 02:00,
13,2022/12/11 02:00,1270.438711
14,2022/12/11 02:00,
15,2022/12/11 02:00,1268.582106
16,2022/12/11 02:00,28
17,2022/12/11 02:00,1266.660865
18,2022/12/11 02:00,
19,2022/12/11 02:00,1267.84623
20,2022/12/11 02:00,1269.099413
21,2022/12/11 02:00,63
22,2022/12/11 02:00,
23,2022/12/11 02:00,1267.852941
24,2022/12/11 02:00,640.8213333
25,2022/12/11 02:00,521.3157143
26,2022/12/11 02:00,1261.074699
27,2022/12/11 02:00,1136.240238
28,2022/12/11 02:00,1262.048503
29,2022/12/11 02:00,1255.132403
30,2022/12/11 02:00,626.9957143
31,2022/12/11 02:00,1255.174018
0,2022/12/11 02:30,819.7582381
1,2022/12/11 02:30,2171.385571
2,2022/12/11 02:30,1132.822739
3,2022/12/11 02:30,1132.519318
4,2022/12/11 02:30,1418.37381
5,2022/12/11 02:30,1132.477952
6,2022/12/11 02:30,133.2586667
7,2022/12/11 02:30,1121.134286
8,2022/12/11 02:30,1136.435728
9,2022/12/11 02:30,1131.622154
10,2022/12/11 02:30,1127.758015
11,2022/12/11 02:30,685.5280159
12,2022/12/11 02:30,
13,2022/12/11 02:30,1129.756186
14,2022/12/11 02:30,
15,2022/12/11 02:30,1131.676299
16,2022/12/11 02:30,28
17,2022/12/11 02:30,1128.991359
18,2022/12/11 02:30,
19,2022/12/11 02:30,1129.354779
20,2022/12/11 02:30,1131.941432
21,2022/12/11 02:30,63
22,2022/12/11 02:30,
23,2022/12/11 02:30,1125.154105
24,2022/12/11 02:30,443.4525238
25,2022/12/11 02:30,410.1609524
26,2022/12/11 02:30,1129.789404
27,2022/12/11 02:30,1139.457619
28,2022/12/11 02:30,1138.452905
29,2022/12/11 02:30,1135.577683
30,2022/12/11 02:30,468.48
31,2022/12/11 02:30,1133.51307
0,2022/12/11 03:00,739.8422857
1,2022/12/11 03:00,2133.790476
2,2022/12/11 03:00,949.9164036
3,2022/12/11 03:00,951.3952092
4,2022/12/11 03:00,1298.411429
5,2022/12/11 03:00,947.0747619
6,2022/12/11 03:00,133.0103333
7,2022/12/11 03:00,1177.240619
8,2022/12/11 03:00,951.3391718
9,2022/12/11 03:00,958.7267963
10,2022/12/11 03:00,947.397222
11,2022/12/11 03:00,681.5477619
12,2022/12/11 03:00,9372.373143
13,2022/12/11 03:00,939.9309317
14,2022/12/11 03:00,1815.88254
15,2022/12/11 03:00,949.7126406
16,2022/12/11 03:00,28
17,2022/12/11 03:00,944.2130514
18,2022/12/11 03:00,
19,2022/12/11 03:00,936.3887729
20,2022/12/11 03:00,929.636398
21,2022/12/11 03:00,63
22,2022/12/11 03:00,431.2261905
23,2022/12/11 03:00,929.6760272
24,2022/12/11 03:00,215.2857143
25,2022/12/11 03:00,285.4333333
26,2022/12/11 03:00,933.2231741
27,2022/12/11 03:00,1158.235714
28,2022/12/11 03:00,935.342898
29,2022/12/11 03:00,944.4023871
30,2022/12/11 03:00,398.2628571
31,2022/12/11 03:00,946.1164687
0,2022/12/11 03:30,676.6756984
1,2022/12/11 03:30,2124.197143
2,2022/12/11 03:30,898.5064593
3,2022/12/11 03:30,910.6045324
4,2022/12/11 03:30,1215.00619
5,2022/12/11 03:30,900.36
6,2022/12/11 03:30,133
7,2022/12/11 03:30,1098.375381
8,2022/12/11 03:30,913.9494105
9,2022/12/11 03:30,914.0245728
10,2022/12/11 03:30,904.9855472
11,2022/12/11 03:30,681.1866667
12,2022/12/11 03:30,7710.140127
13,2022/12/11 03:30,905.4705091
14,2022/12/11 03:30,1735.520952
15,2022/12/11 03:30,906.7976383
16,2022/12/11 03:30,28
17,2022/12/11 03:30,915.7986765
18,2022/12/11 03:30,1848.387952
19,2022/12/11 03:30,925.4605735
20,2022/12/11 03:30,922.302735
21,2022/12/11 03:30,63
22,2022/12/11 03:30,322.7752381
23,2022/12/11 03:30,916.7170217
24,2022/12/11 03:30,145.8571429
25,2022/12/11 03:30,235.647619
26,2022/12/11 03:30,918.456847
27,2022/12/11 03:30,1105.250714
28,2022/12/11 03:30,926.3251005
29,2022/12/11 03:30,923.3795689
30,2022/12/11 03:30,415.2228571
31,2022/12/11 03:30,927.852868
0,2022/12/11 04:00,718.0318095
1,2022/12/11 04:00,2068.25619
2,2022/12/11 04:00,880.5447842
3,2022/12/11 04:00,888.7620697
4,2022/12/11 04:00,1262.194762
5,2022/12/11 04:00,881.732381
6,2022/12/11 04:00,133
7,2022/12/11 04:00,944.009746
8,2022/12/11 04:00,888.0459312
9,2022/12/11 04:00,888.61155
10,2022/12/11 04:00,892.0527287
11,2022/12/11 04:00,704.3106667
12,2022/12/11 04:00,5727.155937
