District_ID,Time,KWH
0,2022/12/11 00:00,16973.70704
1,2022/12/11 00:00,117.7038095
2,2022/12/11 00:00,7265.795192
3,2022/12/11 00:00,485.5665357
4,2022/12/11 00:00,3700.675175
0,2022/12/11 00:30,17702.1875
1,2022/12/11 00:30,82.0847619
2,2022/12/11 00:30,6949.797937
3,2022/12/11 00:30,584.3660794
4,2022/12/11 00:30,4628.233746
0,2022/12/11 01:00,19045.62352
1,2022/12/11 01:00,27.82285714
2,2022/12/11 01:00,6729.499392
3,2022/12/11 01:00,544.9922698
4,2022/12/11 01:00,4444.699381
0,2022/12/11 01:30,19298.57633
1,2022/12/11 01:30,0
2,2022/12/11 01:30,6251.385873
3,2022/12/11 01:30,465.7370476
4,2022/12/11 01:30,3872.749556
0,2022/12/11 02:00,17704.08079
1,2022/12/11 02:00,0
2,2022/12/11 02:00,5929.037754
3,2022/12/11 02:00,375.1888333
4,2022/12/11 02:00,3260.082333
0,2022/12/11 02:30,15718.46612
1,2022/12/11 02:30,0
2,2022/12/11 02:30,5644.398905
3,2022/12/11 02:30,383.5609524
4,2022/12/11 02:30,2952.534794
0,2022/12/11 03:00,14769.1937
1,2022/12/11 03:00,0
2,2022/12/11 03:00,5534.560571
3,2022/12/11 03:00,443.9971429
4,2022/12/11 03:00,2834.054
0,2022/12/11 03:30,15322.75881
1,2022/12/11 03:30,0
2,2022/12/11 03:30,5289.25573
3,2022/12/11 03:30,512.8114286
4,2022/12/11 03:30,2974.487214
0,2022/12/11 04:00,16260.90413
1,2022/12/11 04:00,0
2,2022/12/11 04:00,5284.13081
3,2022/12/11 04:00,523.5828571
4,2022/12/11 04:00,2965.856429
0,2022/12/11 04:30,17329.15571
1,2022/12/11 04:30,0
2,2022/12/11 04:30,5445.849524
3,2022/12/11 04:30,450.3666667
4,2022/12/11 04:30,3098.728571
0,2022/12/11 05:00,17977.47659
1,2022/12/11 05:00,0
2,2022/12/11 05:00,5808.268492
3,2022/12/11 05:00,369.8428571
4,2022/12/11 05:00,3522.054524
0,2022/12/11 05:30,18496.01421
1,2022/12/11 05:30,0
2,2022/12/11 05:30,6510.825079
3,2022/12/11 05:30,348.727619
4,2022/12/11 05:30,4025.957381
0,2022/12/11 06:00,19604.02437
1,2022/12/11 06:00,0
2,2022/12/11 06:00,7733.261032
3,2022/12/11 06:00,371.2704762
4,2022/12/11 06:00,3996.803571
0,2022/12/11 06:30,22532.71306
1,2022/12/11 06:30,4.228571429
2,2022/12/11 06:30,9453.952095
3,2022/12/11 06:30,375.0266667
4,2022/12/11 06:30,3900.820619
0,2022/12/11 07:00,24338.08483
