District_ID,Time,KWH
0,2022/12/11 00:00,22934.02536
1,2022/12/11 00:00,
2,2022/12/11 00:00,8205.234444
3,2022/12/11 00:00,6755.84377
4,2022/12/11 00:00,996.3143175
5,2022/12/11 00:00,
6,2022/12/11 00:00,15482.57796
7,2022/12/11 00:00,7203.647222
8,2022/12/11 00:00,9367.486667
9,2022/12/11 00:00,5249.158532
10,2022/12/11 00:00,3366.260407
0,2022/12/11 00:30,26802.88302
1,2022/12/11 00:30,
2,2022/12/11 00:30,8384.854861
3,2022/12/11 00:30,9365.868254
4,2022/12/11 00:30,1346.486063
5,2022/12/11 00:30,
6,2022/12/11 00:30,15538.33815
7,2022/12/11 00:30,7521.329722
8,2022/12/11 00:30,8711.478194
9,2022/12/11 00:30,6231.687817
10,2022/12/11 00:30,3378.654137
0,2022/12/11 01:00,26289.61381
1,2022/12/11 01:00,
2,2022/12/11 01:00,8564.475278
3,2022/12/11 01:00,9255.932341
4,2022/12/11 01:00,1504.880905
5,2022/12/11 01:00,
6,2022/12/11 01:00,15938.13652
7,2022/12/11 01:00,7839.012222
8,2022/12/11 01:00,8055.469722
9,2022/12/11 01:00,6294.218413
10,2022/12/11 01:00,3508.072718
0,2022/12/11 01:30,24142.38733
1,2022/12/11 01:30,1011.124198
2,2022/12/11 01:30,8894.493087
3,2022/12/11 01:30,8612.53719
4,2022/12/11 01:30,1438.478714
5,2022/12/11 01:30,
6,2022/12/11 01:30,15601.56836
7,2022/12/11 01:30,8186.294937
8,2022/12/11 01:30,7355.94981
9,2022/12/11 01:30,5971.487222
10,2022/12/11 01:30,3550.928085
0,2022/12/11 02:00,21748.90874
1,2022/12/11 02:00,1022.830905
2,2022/12/11 02:00,8532.099016
3,2022/12/11 02:00,8233.554603
4,2022/12/11 02:00,1296.514714
5,2022/12/11 02:00,1124.185786
6,2022/12/11 02:00,14884.03501
7,2022/12/11 02:00,8449.129508
8,2022/12/11 02:00,6894.284468
9,2022/12/11 02:00,5646.94969
10,2022/12/11 02:00,3226.478103
0,2022/12/11 02:30,20079.81695
1,2022/12/11 02:30,1014.831024
2,2022/12/11 02:30,7582.910647
3,2022/12/11 02:30,7934.532095
4,2022/12/11 02:30,1297.633524
5,2022/12/11 02:30,971.5722143
6,2022/12/11 02:30,14068.82066
7,2022/12/11 02:30,8427.367103
8,2022/12/11 02:30,6353.330861
9,2022/12/11 02:30,5099.797024
10,2022/12/11 02:30,2626.488484
0,2022/12/11 03:00,20369.86247
1,2022/12/11 03:00,1005.726429
2,2022/12/11 03:00,7051.945913
3,2022/12/11 03:00,7650.8965
4,2022/12/11 03:00,1274.240429
5,2022/12/11 03:00,864.3903571
6,2022/12/11 03:00,13555.71812
7,2022/12/11 03:00,8137.047603
8,2022/12/11 03:00,5889.661095
9,2022/12/11 03:00,4880.539508
10,2022/12/11 03:00,2148.949833
0,2022/12/11 03:30,22795.176
1,2022/12/11 03:30,1018.152619
2,2022/12/11 03:30,7159.641738
3,2022/12/11 03:30,5994.201667
4,2022/12/11 03:30,1179.774476
5,2022/12/11 03:30,858.9854127
6,2022/12/11 03:30,13106.72338
7,2022/12/11 03:30,7005.951008
8,2022/12/11 03:30,5619.019198
9,2022/12/11 03:30,5308.258079
10,2022/12/11 03:30,1973.144516
0,2022/12/11 04:00,24379.03445
1,2022/12/11 04:00,1043.060952
2,2022/12/11 04:00,6788.761405
3,2022/12/11 04:00,3771.397087
4,2022/12/11 04:00,1320.931143
5,2022/12/11 04:00,932.7035079
6,2022/12/11 04:00,12581.96437
7,2022/12/11 04:00,5837.808119
