District_ID,Time,KWH
0,2022/12/11 00:00,199.2142222
1,2022/12/11 00:00,8542.989167
2,2022/12/11 00:00,27201.70528
3,2022/12/11 00:00,28395.70962
4,2022/12/11 00:00,1134.535528
5,2022/12/11 00:00,11726.80701
6,2022/12/11 00:00,
7,2022/12/11 00:00,
8,2022/12/11 00:00,5228.464397
0,2022/12/11 00:30,215.627
1,2022/12/11 00:30,8610.115486
2,2022/12/11 00:30,27815.66528
3,2022/12/11 00:30,29763.46658
4,2022/12/11 00:30,1201.115111
5,2022/12/11 00:30,16350.05363
6,2022/12/11 00:30,
7,2022/12/11 00:30,
8,2022/12/11 00:30,6897.972274
0,2022/12/11 01:00,221.9508889
1,2022/12/11 01:00,8677.241806
2,2022/12/11 01:00,28429.62528
3,2022/12/11 01:00,32351.45366
4,2022/12/11 01:00,1211.053444
5,2022/12/11 01:00,17302.37149
6,2022/12/11 01:00,
7,2022/12/11 01:00,
8,2022/12/11 01:00,7020.280825
0,2022/12/11 01:30,224.9692778
1,2022/12/11 01:30,8775.198119
2,2022/12/11 01:30,29233.70542
3,2022/12/11 01:30,32243.32661
4,2022/12/11 01:30,1205.384167
5,2022/12/11 01:30,15654.88521
6,2022/12/11 01:30,
7,2022/12/11 01:30,
8,2022/12/11 01:30,6411.390313
0,2022/12/11 02:00,227.3185556
1,2022/12/11 02:00,8770.259694
2,2022/12/11 02:00,29253.00859
3,2022/12/11 02:00,30952.8817
4,2022/12/11 02:00,1206.80425
5,2022/12/11 02:00,13756.74171
6,2022/12/11 02:00,
7,2022/12/11 02:00,
8,2022/12/11 02:00,5754.92773
0,2022/12/11 02:30,230.664
1,2022/12/11 02:30,8518.287851
2,2022/12/11 02:30,28169.68568
3,2022/12/11 02:30,30449.75265
4,2022/12/11 02:30,1206.779
5,2022/12/11 02:30,12500.17224
6,2022/12/11 02:30,
7,2022/12/11 02:30,
8,2022/12/11 02:30,5709.649365
0,2022/12/11 03:00,234.2425
1,2022/12/11 03:00,7997.579683
2,2022/12/11 03:00,26910.463
3,2022/12/11 03:00,32567.24098
4,2022/12/11 03:00,1206.461389
5,2022/12/11 03:00,12198.41285
6,2022/12/11 03:00,
7,2022/12/11 03:00,9244.792556
8,2022/12/11 03:00,6019.992893
0,2022/12/11 03:30,236.6599444
1,2022/12/11 03:30,7282.680833
2,2022/12/11 03:30,26859.81182
3,2022/12/11 03:30,34794.99869
4,2022/12/11 03:30,1207.355778
5,2022/12/11 03:30,11875.09563
6,2022/12/11 03:30,
7,2022/12/11 03:30,9207.007444
8,2022/12/11 03:30,6362.69454
0,2022/12/11 04:00,236.2524444
1,2022/12/11 04:00,6698.18227
2,2022/12/11 04:00,27170.13617
3,2022/12/11 04:00,36346.71111
4,2022/12/11 04:00,1205.754222
5,2022/12/11 04:00,12018.59917
6,2022/12/11 04:00,3063.674056
7,2022/12/11 04:00,8990.362675
8,2022/12/11 04:00,6363.905972
0,2022/12/11 04:30,234.7172778
1,2022/12/11 04:30,6628.69719
2,2022/12/11 04:30,27767.84267
3,2022/12/11 04:30,36532.10857
4,2022/12/11 04:30,1202.037639
5,2022/12/11 04:30,12454.6881
6,2022/12/11 04:30,3075.464611
7,2022/12/11 04:30,9110.460095
8,2022/12/11 04:30,6262.393175
0,2022/12/11 05:00,233.1986667
1,2022/12/11 05:00,6961.377111
2,2022/12/11 05:00,28617.06101
3,2022/12/11 05:00,35615.48448
4,2022/12/11 05:00,1197.754139
5,2022/12/11 05:00,12290.92574
6,2022/12/11 05:00,2886.389929
7,2022/12/11 05:00,9352.770857
8,2022/12/11 05:00,6351.901107
0,2022/12/11 05:30,233.0321667
1,2022/12/11 05:30,7278.601802
2,2022/12/11 05:30,29640.52243
3,2022/12/11 05:30,35649.53931
4,2022/12/11 05:30,1196.547349
5,2022/12/11 05:30,12791.04467
6,2022/12/11 05:30,2902.632659
7,2022/12/11 05:30,9401.138948
8,2022/12/11 05:30,6762.542135
0,2022/12/11 06:00,234.2345556
1,2022/12/11 06:00,6929.15569
2,2022/12/11 06:00,30954.14221
3,2022/12/11 06:00,38754.67303
4,2022/12/11 06:00,1197.058246
5,2022/12/11 06:00,14852.82443
6,2022/12/11 06:00,3167.323127
7,2022/12/11 06:00,9451.809995
8,2022/12/11 06:00,7503.289081
0,2022/12/11 06:30,233.8013333
1,2022/12/11 06:30,7199.853087
2,2022/12/11 06:30,33400.37494
3,2022/12/11 06:30,40126.46124
4,2022/12/11 06:30,1212.094972
5,2022/12/11 06:30,17288.3222
6,2022/12/11 06:30,3851.032575
7,2022/12/11 06:30,9224.323978
8,2022/12/11 06:30,7995.437917
0,2022/12/11 07:00,229.3625
1,2022/12/11 07:00,8176.779897
2,2022/12/11 07:00,34590.48294
3,2022/12/11 07:00,37121.22767
4,2022/12/11 07:00,1224.159833
5,2022/12/11 07:00,17410.1619
6,2022/12/11 07:00,4500.023024
7,2022/12/11 07:00,8544.337392
8,2022/12/11 07:00,8230.035601
0,2022/12/11 07:30,225.3494167
1,2022/12/11 07:30,8943.242214
2,2022/12/11 07:30,33549.28143
3,2022/12/11 07:30,30565.52382
4,2022/12/11 07:30,1211.767571
5,2022/12/11 07:30,15593.31948
6,2022/12/11 07:30,4424.59529
7,2022/12/11 07:30,7334.086361
8,2022/12/11 07:30,7119.847833
0,2022/12/11 08:00,219.102
1,2022/12/11 08:00,7624.4225
2,2022/12/11 08:00,29462.55229
3,2022/12/11 08:00,24692.35076
4,2022/12/11 08:00,1189.377155
5,2022/12/11 08:00,13069.04758
6,2022/12/11 08:00,3311.700937
7,2022/12/11 08:00,6243.904611
8,2022/12/11 08:00,5487.169843
0,2022/12/11 08:30,208.8271667
1,2022/12/11 08:30,5473.268413
2,2022/12/11 08:30,24142.4824
3,2022/12/11 08:30,19417.99195
4,2022/12/11 08:30,1211.473329
5,2022/12/11 08:30,11036.92318
6,2022/12/11 08:30,2084.873385
7,2022/12/11 08:30,5060.914009
8,2022/12/11 08:30,4353.296702
0,2022/12/11 09:00,200.9635
1,2022/12/11 09:00,4263.463016
2,2022/12/11 09:00,19356.35196
3,2022/12/11 09:00,15196.10551
4,2022/12/11 09:00,1222.794127
5,2022/12/11 09:00,8922.700794
6,2022/12/11 09:00,1758.339873
7,2022/12/11 09:00,4261.293316
