District_ID,Time,KWH
0,2022/12/11 00:00,899.9123051
1,2022/12/11 00:00,902.0425
2,2022/12/11 00:00,896.4668181
3,2022/12/11 00:00,894.6614132
4,2022/12/11 00:00,901.6472986
5,2022/12/11 00:00,896.2925781
6,2022/12/11 00:00,900.2732306
7,2022/12/11 00:00,911.2159819
8,2022/12/11 00:00,907.864108
9,2022/12/11 00:00,903.7112085
10,2022/12/11 00:00,902.6140319
11,2022/12/11 00:00,
12,2022/12/11 00:00,900.4909953
13,2022/12/11 00:00,897.2690651
14,2022/12/11 00:00,898.9343704
15,2022/12/11 00:00,896.9074934
16,2022/12/11 00:00,890.0740905
17,2022/12/11 00:00,892.9836006
18,2022/12/11 00:00,895.3304981
19,2022/12/11 00:00,
0,2022/12/11 00:30,926.422319
1,2022/12/11 00:30,920.854
2,2022/12/11 00:30,920.5308964
3,2022/12/11 00:30,918.4285594
4,2022/12/11 00:30,917.2166711
5,2022/12/11 00:30,918.0558886
6,2022/12/11 00:30,915.576921
7,2022/12/11 00:30,916.4978062
8,2022/12/11 00:30,915.8213787
9,2022/12/11 00:30,912.1074025
10,2022/12/11 00:30,908.5301845
11,2022/12/11 00:30,
12,2022/12/11 00:30,915.143172
13,2022/12/11 00:30,909.1803349
14,2022/12/11 00:30,902.5457015
15,2022/12/11 00:30,900.1198222
16,2022/12/11 00:30,906.5339019
17,2022/12/11 00:30,909.7504678
18,2022/12/11 00:30,902.2996489
19,2022/12/11 00:30,
0,2022/12/11 01:00,941.6393171
1,2022/12/11 01:00,939.6655
2,2022/12/11 01:00,943.4658849
3,2022/12/11 01:00,945.5727218
4,2022/12/11 01:00,943.500135
5,2022/12/11 01:00,944.0386391
6,2022/12/11 01:00,948.3629521
7,2022/12/11 01:00,935.7437419
8,2022/12/11 01:00,929.9601875
9,2022/12/11 01:00,939.0277931
10,2022/12/11 01:00,948.1719722
11,2022/12/11 01:00,
12,2022/12/11 01:00,939.8004604
13,2022/12/11 01:00,938.2955724
14,2022/12/11 01:00,942.167795
15,2022/12/11 01:00,930.8639321
16,2022/12/11 01:00,929.8351731
17,2022/12/11 01:00,927.9339158
18,2022/12/11 01:00,925.272447
19,2022/12/11 01:00,
0,2022/12/11 01:30,954.6317788
1,2022/12/11 01:30,958.477
2,2022/12/11 01:30,946.6939787
3,2022/12/11 01:30,942.5090735
4,2022/12/11 01:30,945.6681247
5,2022/12/11 01:30,944.9027185
6,2022/12/11 01:30,950.970312
7,2022/12/11 01:30,958.7213343
8,2022/12/11 01:30,962.1915354
9,2022/12/11 01:30,967.3270648
10,2022/12/11 01:30,962.0795948
11,2022/12/11 01:30,
12,2022/12/11 01:30,957.8148162
13,2022/12/11 01:30,956.5360252
14,2022/12/11 01:30,956.0754251
15,2022/12/11 01:30,969.0440091
16,2022/12/11 01:30,962.4134621
17,2022/12/11 01:30,964.4608188
18,2022/12/11 01:30,968.5626432
19,2022/12/11 01:30,
0,2022/12/11 02:00,998.8745839
1,2022/12/11 02:00,987.1409143
2,2022/12/11 02:00,1004.352941
3,2022/12/11 02:00,1010.86152
4,2022/12/11 02:00,1010.996981
5,2022/12/11 02:00,1002.578376
6,2022/12/11 02:00,1003.338474
7,2022/12/11 02:00,997.437258
8,2022/12/11 02:00,992.3439203
9,2022/12/11 02:00,1000.710597
10,2022/12/11 02:00,998.9149647
11,2022/12/11 02:00,
12,2022/12/11 02:00,998.0183628
13,2022/12/11 02:00,990.6844587
14,2022/12/11 02:00,985.5326178
15,2022/12/11 02:00,985.6493453
16,2022/12/11 02:00,978.967961
17,2022/12/11 02:00,992.1301818
18,2022/12/11 02:00,999.4204412
19,2022/12/11 02:00,162.48
0,2022/12/11 02:30,957.4287035
1,2022/12/11 02:30,969.0580286
2,2022/12/11 02:30,962.9017667
3,2022/12/11 02:30,963.4197831
4,2022/12/11 02:30,962.3714913
5,2022/12/11 02:30,954.6076993
6,2022/12/11 02:30,955.4895845
7,2022/12/11 02:30,951.0571953
8,2022/12/11 02:30,958.1962908
9,2022/12/11 02:30,954.4944573
10,2022/12/11 02:30,958.6966896
11,2022/12/11 02:30,
12,2022/12/11 02:30,964.368097
13,2022/12/11 02:30,961.4941301
14,2022/12/11 02:30,961.6981715
15,2022/12/11 02:30,966.0404473
16,2022/12/11 02:30,961.3592301
17,2022/12/11 02:30,956.7215594
18,2022/12/11 02:30,960.9711417
19,2022/12/11 02:30,174.3714286
0,2022/12/11 03:00,910.7335074
1,2022/12/11 03:00,906.3562238
2,2022/12/11 03:00,911.3579721
3,2022/12/11 03:00,912.9043057
4,2022/12/11 03:00,913.9748242
5,2022/12/11 03:00,911.1145426
6,2022/12/11 03:00,908.6135471
7,2022/12/11 03:00,908.2429674
8,2022/12/11 03:00,916.9033357
9,2022/12/11 03:00,918.7462159
10,2022/12/11 03:00,914.1529241
11,2022/12/11 03:00,
12,2022/12/11 03:00,916.7335556
13,2022/12/11 03:00,922.622676
14,2022/12/11 03:00,925.2932395
15,2022/12/11 03:00,918.2451445
16,2022/12/11 03:00,921.3456418
17,2022/12/11 03:00,924.2362144
18,2022/12/11 03:00,915.3252848
19,2022/12/11 03:00,188.5714286
0,2022/12/11 03:30,936.2399399
1,2022/12/11 03:30,929.1304762
2,2022/12/11 03:30,934.5171198
3,2022/12/11 03:30,939.4341512
4,2022/12/11 03:30,943.2253577
5,2022/12/11 03:30,945.3376571
6,2022/12/11 03:30,944.0510112
7,2022/12/11 03:30,941.194802
8,2022/12/11 03:30,940.2222978
9,2022/12/11 03:30,933.9075389
10,2022/12/11 03:30,931.3584877
11,2022/12/11 03:30,2647.091429
12,2022/12/11 03:30,938.3972176
13,2022/12/11 03:30,948.2275536
14,2022/12/11 03:30,947.8953952
15,2022/12/11 03:30,955.2017083
16,2022/12/11 03:30,960.3236343
17,2022/12/11 03:30,962.3638128
18,2022/12/11 03:30,957.0311354
19,2022/12/11 03:30,183.961
0,2022/12/11 04:00,1051.520275
1,2022/12/11 04:00,1051.791429
2,2022/12/11 04:00,1051.049532
3,2022/12/11 04:00,1055.482444
4,2022/12/11 04:00,1052.798819
5,2022/12/11 04:00,1052.558681
6,2022/12/11 04:00,1045.508581
7,2022/12/11 04:00,1042.600935
8,2022/12/11 04:00,1040.948189
9,2022/12/11 04:00,1046.976338
10,2022/12/11 04:00,1037.799779
11,2022/12/11 04:00,2545.118095
12,2022/12/11 04:00,1037.484918
13,2022/12/11 04:00,1047.100773
14,2022/12/11 04:00,1038.789339
15,2022/12/11 04:00,1042.204156
16,2022/12/11 04:00,1040.220171
17,2022/12/11 04:00,1040.350959
18,2022/12/11 04:00,1045.389793
19,2022/12/11 04:00,169.3216429
0,2022/12/11 04:30,1195.410362
1,2022/12/11 04:30,1192.719048
2,2022/12/11 04:30,1198.751047
3,2022/12/11 04:30,1195.267591
4,2022/12/11 04:30,1193.362551
5,2022/12/11 04:30,1192.965661
6,2022/12/11 04:30,1199.443078
7,2022/12/11 04:30,1207.542025
8,2022/12/11 04:30,1213.450462
9,2022/12/11 04:30,1211.773905
10,2022/12/11 04:30,1208.885724
11,2022/12/11 04:30,2289.597143
12,2022/12/11 04:30,1210.486119
13,2022/12/11 04:30,1217.524813
14,2022/12/11 04:30,1208.475108
15,2022/12/11 04:30,1216.654152
16,2022/12/11 04:30,1210.945256
17,2022/12/11 04:30,1221.022818
18,2022/12/11 04:30,1228.291225
19,2022/12/11 04:30,161.1631905
0,2022/12/11 05:00,1189.385363
1,2022/12/11 05:00,1187.682857
2,2022/12/11 05:00,1191.665549
3,2022/12/11 05:00,1191.858829
4,2022/12/11 05:00,1191.024192
5,2022/12/11 05:00,1192.85355
6,2022/12/11 05:00,1190.519231
7,2022/12/11 05:00,1193.544235
8,2022/12/11 05:00,1190.275325
9,2022/12/11 05:00,1190.548063
10,2022/12/11 05:00,1191.259373
11,2022/12/11 05:00,2292.295714
12,2022/12/11 05:00,1196.712799
13,2022/12/11 05:00,1213.964834
14,2022/12/11 05:00,1214.98755
15,2022/12/11 05:00,1221.916742
16,2022/12/11 05:00,1214.834081
17,2022/12/11 05:00,1221.804703
18,2022/12/11 05:00,1236.064327
19,2022/12/11 05:00,163.0211667
0,2022/12/11 05:30,1113.861368
1,2022/12/11 05:30,1113.970476
2,2022/12/11 05:30,1118.777924
3,2022/12/11 05:30,1116.194697
4,2022/12/11 05:30,1106.776476
5,2022/12/11 05:30,1107.705424
6,2022/12/11 05:30,1111.158217
7,2022/12/11 05:30,1113.263836
8,2022/12/11 05:30,1118.041183
9,2022/12/11 05:30,1118.874051
10,2022/12/11 05:30,1119.043238
11,2022/12/11 05:30,2864.625714
12,2022/12/11 05:30,1120.067079
13,2022/12/11 05:30,1122.894342
14,2022/12/11 05:30,1116.220839
15,2022/12/11 05:30,1119.181151
16,2022/12/11 05:30,1115.35975
17,2022/12/11 05:30,1117.273044
18,2022/12/11 05:30,1112.429744
19,2022/12/11 05:30,161.807
0,2022/12/11 06:00,1031.612439
1,2022/12/11 06:00,1036.151429
